Date,Close,Open,High,Low,Volume,vo,s
1995-01-02,2.5099999904633,2.7300000190735,2.7300000190735,2.4900000095367,454960,0,ok
1995-01-03,2.6099998950958,2.5099999904633,2.6199998855591,2.5,606873,0,ok
1995-01-04,2.6400001049042,2.6099998950958,2.6600000858307,2.6099998950958,797015,0,ok
1995-01-05,2.7200000286102,2.6400001049042,2.7200000286102,2.6400001049042,875699,0,ok
1995-01-06,2.6900000572205,2.7200000286102,2.7300000190735,2.6800000667572,751059,0,ok
1995-01-09,2.6900000572205,2.6900000572205,2.710000038147,2.6600000858307,639699,0,ok
1995-01-10,2.6900000572205,2.6900000572205,2.7200000286102,2.670000076294,701954,0,ok
1995-01-11,2.710000038147,2.6900000572205,2.710000038147,2.670000076294,854335,0,ok
1995-01-12,2.670000076294,2.710000038147,2.7400000095367,2.6400001049042,1005826,0,ok
1995-01-13,2.6500000953674,2.670000076294,2.6800000667572,2.6199998855591,580616,0,ok
1995-01-16,2.5499999523163,2.6500000953674,2.6500000953674,2.5299999713898,453093,0,ok
1995-01-17,2.5499999523163,2.5499999523163,2.5599999427795,2.5199999809265,483102,0,ok
1995-01-18,2.579999923706,2.5499999523163,2.5899999141693,2.5299999713898,449983,0,ok
1995-01-19,2.5899999141693,2.579999923706,2.6099998950958,2.5699999332428,530978,0,ok
1995-01-20,2.5499999523163,2.5899999141693,2.5899999141693,2.539999961853,407779,0,ok
1995-01-23,2.460000038147,2.5499999523163,2.5499999523163,2.420000076294,468177,0,ok
1995-01-24,2.4900000095367,2.460000038147,2.4900000095367,2.4300000667572,411280,0,ok
1995-01-25,2.4800000190735,2.4900000095367,2.5,2.4700000286102,444247,0,ok
1995-01-26,2.4800000190735,2.4800000190735,2.5099999904633,2.4700000286102,492854,0,ok
1995-01-27,2.5199999809265,2.4800000190735,2.5299999713898,2.4800000190735,486229,0,ok
1995-01-30,2.5,2.5199999809265,2.539999961853,2.5,550143,0,ok
1995-01-31,2.5199999809265,2.5,2.5199999809265,2.4900000095367,518968,0,ok
1995-02-01,2.5299999713898,2.5199999809265,2.539999961853,2.5099999904633,410117,0,ok
1995-02-02,2.579999923706,2.5299999713898,2.5899999141693,2.5299999713898,773935,0,ok
1995-02-03,2.5499999523163,2.579999923706,2.5899999141693,2.539999961853,605650,0,ok
1995-02-06,2.5999999046326,2.5499999523163,2.5999999046326,2.5499999523163,618482,0,ok
1995-02-07,2.6400001049042,2.5999999046326,2.6400001049042,2.5999999046326,948546,0,ok
1995-02-08,2.6300001144409,2.6400001049042,2.6500000953674,2.6099998950958,582527,0,ok
1995-02-09,2.670000076294,2.6300001144409,2.670000076294,2.6300001144409,653941,0,ok
1995-02-10,2.6900000572205,2.670000076294,2.6900000572205,2.6500000953674,659805,0,ok
1995-02-13,2.7000000476837,2.6900000572205,2.7300000190735,2.6900000572205,693603,0,ok
1995-02-14,2.7300000190735,2.7000000476837,2.7300000190735,2.7000000476837,847235,0,ok
1995-02-15,2.7699999809265,2.7400000095367,2.7799999713898,2.7400000095367,921228,0,ok
1995-02-16,2.7999999523163,2.7699999809265,2.8399999141693,2.7699999809265,1301876,0,ok
1995-02-17,2.8199999332428,2.7999999523163,2.8199999332428,2.7799999713898,1036018,0,ok
1995-02-20,2.9000000953674,2.8199999332428,2.9500000476837,2.8199999332428,1443048,0,ok
1995-02-21,2.9100000858307,2.9000000953674,2.9500000476837,2.8900001049042,1111299,0,ok
1995-02-22,2.9700000286102,2.9100000858307,2.9700000286102,2.9100000858307,1366318,0,ok
1995-02-23,2.9500000476837,2.9700000286102,3.0,2.9300000667572,1181532,0,ok
1995-02-24,2.9700000286102,2.9500000476837,3.0099999904633,2.9500000476837,1074135,0,ok
1995-02-27,2.9700000286102,2.9700000286102,3.0099999904633,2.9500000476837,868407,0,ok
1995-02-28,2.9100000858307,2.9700000286102,3.0,2.8900001049042,1018330,0,ok
1995-03-01,2.9800000190735,2.9100000858307,2.9800000190735,2.9100000858307,831802,0,ok
1995-03-06,3.1400001049042,3.0199999809265,3.1400001049042,3.0199999809265,1245437,0,ok
1995-03-07,3.1500000953674,3.1400001049042,3.1800000667572,3.1199998855591,1474808,0,ok
1995-03-08,3.25,3.1500000953674,3.25,3.1500000953674,1361636,0,ok
1995-03-09,3.2400000095367,3.25,3.2999999523163,3.2200000286102,1264597,0,ok
